sample,model,variable,coef,se,t,p_value,ci_lo_95,ci_hi_95,n_obs,r_squared,adj_r_squared,aic,bic
CHN_2012_thin,M0_controls,const,12.73915717764139,0.08776283283910331,145.15435253777923,0.0,12.567145186095539,12.911169169187241,2614,0.010073221971525381,0.008935375100228349,8329.35821626863,8352.832763845367
CHN_2012_thin,M0_controls,ln_empl,-0.08158728044484109,0.022071256858835667,-3.6965398466730135,0.00021855796860168004,-0.12484614898169163,-0.038328411907990544,2614,0.010073221971525381,0.008935375100228349,8329.35821626863,8352.832763845367
CHN_2012_thin,M0_controls,firm_age,0.008240646158172825,0.0034272847518838794,2.4044241301056704,0.016197968129308356,0.0015232914797171258,0.014958000836628522,2614,0.010073221971525381,0.008935375100228349,8329.35821626863,8352.832763845367
CHN_2012_thin,M0_controls,foreign_dummy,0.2143352193122222,0.09316922849803773,2.300493658340601,0.021420268159081712,0.03172688698868542,0.396943551635759,2614,0.010073221971525381,0.008935375100228349,8329.35821626863,8352.832763845367
CHN_2012_thin,M0_controls,_FIT_,,,,,,,2614,0.010073221971525381,0.008935375100228349,8329.35821626863,8352.832763845367
CHN_2012_thin,M1_linear,const,12.7466006520492,0.08790994778808696,144.9961121894392,0.0,12.574300320501752,12.918900983596647,2612,0.012950001762192076,0.011435540698536029,8317.794127991823,8347.133485443805
CHN_2012_thin,M1_linear,fsts,0.33042535320386945,0.11650828642709449,2.83606740204384,0.004567280596959233,0.10207330790628744,0.5587773985014515,2612,0.012950001762192076,0.011435540698536029,8317.794127991823,8347.133485443805
CHN_2012_thin,M1_linear,ln_empl,-0.08927133790334685,0.022583312458191153,-3.9529780260808196,7.718452763058892e-05,-0.13353381697301622,-0.04500885883367747,2612,0.012950001762192076,0.011435540698536029,8317.794127991823,8347.133485443805
CHN_2012_thin,M1_linear,firm_age,0.008613066736322506,0.0034362474662384267,2.5065327282004555,0.012192176993334108,0.001878145460528174,0.015347988012116837,2612,0.012950001762192076,0.011435540698536029,8317.794127991823,8347.133485443805
CHN_2012_thin,M1_linear,foreign_dummy,0.16126656000310868,0.09495122490250113,1.6984147405017913,0.0894295119342276,-0.024834421093756248,0.3473675410999736,2612,0.012950001762192076,0.011435540698536029,8317.794127991823,8347.133485443805
